TYPE,CONTENT,DESCRIPTION,PRIORITY,INDENT
"section","Foundation / Must-do first","","",""
"task","Define a shippable vertical slice","Pick the exact experience that proves the game is fun, polished, and marketable.",4,1
"task","Choose the 3 best current cases for the vertical slice","Use the strongest curated cases as the benchmark set.",4,2
"task","Polish those 3 cases to gold-standard quality","Tighten logic, art consistency, pacing, and explanations.",4,2
"task","Create a vertical-slice release checklist","Make one reusable checklist for readiness, QA, and presentation.",3,2
"task","Refactor the monolithic game controller","Primary target: Assets\\Scripts\\Cases\\CaseScreenController.cs",4,1
"task","Split CaseScreenController into focused controllers","Separate case flow, evidence UI, interviews, verdicts, menus, and case select.",4,2
"task","Move runtime-built overlays into prefabs","Reduce code-generated UI where practical.",4,2
"task","Replace deep name-based scene binding","Prefer serialized references or safer binding helpers.",4,2
"task","Add persistence and progression","Create real save-state for player progress and preferences.",4,1
"task","Save completed cases and unlocked cases","Track what the player has finished and what opens next.",4,2
"task","Save best score, rank, hints used, and wrong accusations","Support replayability and mastery.",3,2
"task","Save settings","Persist audio, accessibility, and input preferences.",3,2
"task","Finalize project identity and shipping metadata","ProjectSettings\\ProjectSettings.asset still contains template leftovers.",4,1
"task","Replace DefaultCompany and default application identifiers","Set production-ready company and app identifiers.",4,2
"task","Set product icons, splash, and versioning policy","Make build metadata feel intentional.",3,2
"task","Create a naming and version convention","Apply to builds, cases, styles, and content packs.",2,2

"section","Gameplay & Deduction","","",""
"task","Strengthen the core deduction loop","Make solving a case feel richer than one final click.",4,1
"task","Add case scoring and rank calculation","Grade speed, accuracy, hints-used, and wrong accusations.",4,2
"task","Add a final review screen before accusation","Let players inspect evidence and confirm their reasoning.",4,2
"task","Add a case-complete breakdown","Show why each suspect was plausible and why the culprit fits.",4,2
"task","Add a player notebook or notes panel","Let players jot down or pin reasoning in-game.",3,2
"task","Improve suspect interaction depth","Suspects should feel like active puzzle pieces, not static cards.",4,1
"task","Add follow-up interview questions","Give the player a limited way to probe contradictions.",4,2
"task","Add a compare-suspects view","Let players compare two suspects side by side.",3,2
"task","Add contradiction surfacing","Highlight when testimony conflicts with evidence or timeline.",4,2
"task","Improve evidence interaction","Evidence should feel inspectable and strategically useful.",4,1
"task","Add an evidence board","Allow grouping clues visually by suspect or theory.",4,2
"task","Let players pin evidence to suspects","Support deduction with explicit linking.",3,2
"task","Add zoom inspect for evidence","Make clue art feel more tactile and important.",3,2
"task","Allow favorites or bookmarks","Let players mark the clues they think matter most.",2,2
"task","Add a hint system that preserves challenge","Hints should help without solving the case instantly.",4,1
"task","Design tiered hints","Gentle nudge, stronger clue, near-direct steer.",4,2
"task","Apply score penalties for hint use","Keep mastery runs meaningful.",3,2
"task","Limit hint usage per case or mode","Prevent brute-force hint spam.",3,2
"task","Add difficulty and replayability layers","Support both casual and hardcore players.",4,1
"task","Rate each case by difficulty","Tag cases by complexity and expected solve time.",3,2
"task","Add daily case or featured case mode","Create a regular reason to return.",3,2
"task","Add weekly challenge modifiers","Examples: no hints, timed, single review pass.",3,2
"task","Randomize suspect order safely","Increase replay variety without breaking logic.",2,2
"task","Build meta progression around solving cases","Give players long-term goals beyond single-case wins.",3,1
"task","Add detective rank or career progression","Reward consistent performance.",3,2
"task","Unlock harder cases and anthologies over time","Create forward pull through the catalog.",3,2
"task","Add a solved-case archive wall","Turn progress into something visible and satisfying.",2,2

"section","UX, Menus, Accessibility & Input","","",""
"task","Build a real main menu","Current menu behavior is minimal and should become a proper front door.",4,1
"task","Add Play, Continue, Case Select, Settings, Credits, and Quit","Cover the expected game shell basics.",4,2
"task","Add transitions into and out of gameplay","Make starting a case feel premium.",3,2
"task","Improve text readability everywhere","Long-form reading is core to the experience.",4,1
"task","Add text size options","Support normal, large, and extra-large sizes.",4,2
"task","Use proper scroll areas for long text","Especially interviews, explanations, and case file text.",4,2
"task","Improve spacing and hierarchy","Strengthen headline/body/secondary text rhythm.",3,2
"task","Do a full accessibility pass","Make the game easier to read and navigate for more players.",4,1
"task","Add high-contrast mode","Improve legibility and UI separation.",4,2
"task","Add reduced-motion mode","Tone down transitions and movement effects.",3,2
"task","Add colorblind-safe clue presentation","Avoid meaning carried only by color.",4,2
"task","Add dyslexia-friendly font option","Offer an alternate reading mode.",3,2
"task","Clean up input and navigation","Rationalize current input setup and improve flow.",4,1
"task","Make controller navigation first-class","Ensure every screen is navigable without a mouse.",4,2
"task","Add keyboard shortcuts for power users","Examples: close, inspect, compare, accuse.",2,2
"task","Unify legacy input and new Input System usage","Review Assets\\InputSystem_Actions.inputactions, ProjectSettings\\InputManager.asset, and Assets\\Scripts\\InputSystemEventSystemFix.cs",4,2
"task","Add onboarding and tutorialization","Teach the player how to think in this game.",4,1
"task","Create a guided first-case flow","Introduce suspects, evidence roles, and accusation flow.",4,2
"task","Add contextual tooltips or helper text","Explain interviews, evidence, and ranking clearly.",3,2
"task","Teach the meaning of valid clue, red herring, and neutral clue through play","Make the rules legible through the UI and first cases.",3,2

"section","Visuals, Art Direction & Polish","","",""
"task","Lock the game’s art direction bible","Define the visual north star for shipped content.",4,1
"task","Choose 3 to 5 house visual styles","Keep variety while preserving brand cohesion.",4,2
"task","Document palette, lighting, framing, and silhouette rules","Use the same standards across future content.",4,2
"task","Create exemplar boards for suspect, evidence, location, and featured art","Make review faster and more objective.",3,2
"task","Polish the case selection screen","Turn it into a browsing experience, not just a list.",4,1
"task","Improve case cards and featured art presentation","Show difficulty, completion status, and rewards cleanly.",4,2
"task","Add solved, locked, and medal badges","Make progression visible in selection UI.",3,2
"task","Add motion and transition polish","Good transitions can make the game feel much more expensive.",3,1
"task","Add panel fades and slides","Use restrained motion to guide attention.",3,2
"task","Create a dramatic accusation reveal sequence","Build tension and payoff.",4,2
"task","Improve hover, pressed, focus, and selected states","Especially for suspects, evidence, and buttons.",3,2
"task","Improve suspect presentation quality","Each suspect should be readable and memorable instantly.",4,1
"task","Enforce silhouette consistency and stronger variety","Avoid suspects blending together.",4,2
"task","Increase pose variety while preserving clarity","Avoid everyone feeling equally staged.",3,2
"task","Add per-case visual tinting or atmosphere","Let each case feel like its own episode.",3,2
"task","Improve evidence presentation quality","Evidence should feel premium and clue-like.",4,1
"task","Design forensic/evidence framing UI","Give evidence its own visual treatment.",3,2
"task","Standardize crop and composition rules for evidence art","Keep readability high.",3,2
"task","Create theme variants per case","Use case-specific palettes or accents in runtime UI.",3,1
"task","Theme the result screen by case","Make endings feel bespoke.",2,2
"task","Theme backgrounds and overlays by setting","Support theatre, station, hotel, archive, etc.",2,2

